Posição,Usuário,Data,Link,Legenda,Decupagem
Oposição,Marco Feliciano,25 de mai.,https://www.instagram.com/tv/CsqmHphhYav/,CPMI 08/01 - VAMOS INSTALAR!!!,"(Marco Feliciano) Bom dia, povo de Deus. Bom dia, meus amigos, meus irmãos brasileiros. Hoje é quinta-feira, são nove horas e quatro minutos. Estamos aqui na sala onde vai ser instalada a CPMI do dia oito de Janeiro. Estou aqui com o moço que começou toda essa muvuca, o André que começou toda essa história. É dele o requerimento da CPMI, André, qual que é a sua expectativa?

(André Fernandes) A expectativa é de fazer uma investigação e mostrar para o povo brasileiro o que até hoje ninguém viu. 

(André Fernandes) As investigações que estão acontecendo estão sendo feitas fechadas dentro de quatro paredes, pessoas sendo condenadas, virando réus, presas na ilha e ninguém sabe de fato qual é o procedimento, quais são os artigos, o que tá acontecendo. Então, essa CPMI é pra trazer transparência e verdade.

(Marco Feliciano) Fique atento que vai pegar fogo, né?

(André Fernandes) Com certeza.

(Marco Feliciano) Aqui o bolsonarista raiz, viu? Irmãozão nosso.

(Marco Feliciano) Então, mostrar aqui pra vocês o panorama. A turma toda tá aqui, então contamos com as suas orações. Tá aqui comigo o senador Girão.

(Eduardo Girão) Olá, pessoal. Bom dia.

(Marco Feliciano) Nossa irmã pró-vida.

(Eduardo Girão) Sim. E aqui nós vamos tratar de vida também, né?

(Marco Feliciano) Com certeza. Principalmente as vidas que estão sendo injustiçadas.

(Eduardo Girão) Exatamente. A gente precisa entender o que é que tá por trás disso tudo.

(Eduardo Girão) Um governo que se diz vítima sabotou o tempo todo a investigação, o governo Lula, a gente percebe isso claramente, a própria imprensa demonstrou, parlamentares denunciaram a oferta de dezenas de milhões de reais em emendas com seu dinheiro, cargos federais, como colocou o nosso deputado. 

(Marco Feliciano) E não queriam a instalação da CPI.

(Eduardo Girãoo) Não queriam, sabotaram. Agora quando vazaram aquelas imagens. Repetindo, tem centenas de horas ainda sigilosas, porque o governo Lula decretou Sigilo.

(Marco Felciano) E nós precisamos quebrar tudo isso, aqui.

(Eduardo Girão) Se Deus Quiser. E nós precisamos muito das orações de vocês, participação, para que tudo que esteja na sombra nós tenhamos luz e que a justiça e a verdade prevaleçam na nossa nação.

(Marco Feliciano) Obrigado, senador.

(Marco Feliciano) Então, isso aí é um panorama aqui da CPMI. Eu vou, em tempo real, tentar passar pra vocês tudo o que tá acontecendo aqui, tá? Se vocês tiverem sugestões aí, podem mandar pra cá, que eu tenho certeza que as coisas vão funcionar.

(Marco Feliciano) Deixa eu ver quem mais tem aqui do meu lado. Ô, Nícolas, tá aqui o menininho Nícolas?

(Nikolas Ferreira) Bom dia, pessoal.

(Marco Feliciano) Estamos aqui no início da CPMI, né? Vamos tentar instalar. O que você acha que vai acontecer?

(Nikolas Ferreira) O governo fez de tudo para poder não ser aberta a CPMI, inclusive demorando em indicar os seus membros.  Graças a Deus estamos aqui hoje no Plenário 2.

(Marco Feliciano) Já com quorum?

(Nikolas Ferreira) Já com quorum. E se Deus quiser teremos aqui o começo da descoberta da verdade do que realmente aconteceu aí nos atos do dia oito.

(Marco Feliciano) Valeu, meu irmão. Obrigado. Estamos juntos.

(Marco Feliciano) É isso. Esse é o início da CPMI. Esperamos vocês aqui, tá bom? Fiquem atentos. Um abraço e um beijo no coração.

"
Oposição,Flávio Bolsonaro,25 de mai.,https://www.instagram.com/reel/Csq5VXtrnnE/,"É importante deixar claro que por parte de jairmessiasbolsonaro não há nenhum dolo. Nosso objetivo com a CPMI do 8 de janeiro é resgatar a verdade, defender aqueles que foram presos injustamente e responsabilizar quem se omitiu/incentivou os atos.","(Parlamentar falando com jornalistas no congresso. Há uma moldura estilo vaporwave no vídeo.)

A expectativa é sempre resgatar a verdade, porque o que nós temos visto até agora são falsas narrativas para tentar incriminar um lado.

Então, nós que temos a consciência que por parte do ex-presidente não há nenhum tipo de dó, nenhuma tentativa de incentivo.

Nós temos a obrigação de defender a verdade.

Nós temos a obrigação de defender aqueles que até hoje estão justamente presos, porque estavam pleiteando mais transparência no processo democrático e foram rotulados como terroristas, coisa que certamente eles não são.

Então o nosso grupo certamente vai para a instalação dessa CPMI hoje, muito consciente da sua missão de verdade, fazer justiça e resgatar a democracia nesse país.

Mas só que é óbvio que quem estava no governo na época do dia 8 de janeiro não era Bolsonaro e a gente tem sim que apurar as responsabilidades, em especial no tocante às omissões, se elas foram propositais ou não, as falhas que aconteceram e tudo certamente quem tinha o domínio final de fato na época não era o presidente Bolsonaro.

E como já foi dito, inclusive, pelo senador Magno Malta, é importante que nós façamos também as visitas aos presídios para que possamos ouvir em loco aquelas pessoas que até hoje estão esquecidas atrás das grades, são presos políticos, tanto aqueles que estavam ali, como eu falei, se manifestando, pedindo, pleiteando, implorando por mais segurança, por mais transparência no processo democrático, 

Ouvi aquelas pessoas que supostamente financiaram alguma coisa. Qual era a intenção delas? Será que era financiar para que houvesse uma ruptura institucional? Ou será que estavam financiando por algo que eles acreditavam dentro da Constituição, dentro da democracia?

Então, acho que vai ser um debate bastante importante aqui nessa CPMI, ao longo dos meses em que ela vai funcionar.
"
Oposição,Eduardo Girão,25 de mai.,https://www.instagram.com/reel/Csq-wCsrcbn/,"❌APESAR DO JOGO BRUTO, TRABALHAREMOS CONFIANTES Q A VERDADE PREVALECERÁ DE UM JEITO OU DE OUTRO🙏🏽
Gov. LUL4, que até o vazamento das imagens da cnnbrasil não queria de jeito nenhum a CPMI do dia 8/1 ,ocupou com a ampla maioria a Comissão S4B0T4ND0 um instrumento histórico legítimo da oposição. Mas me dedicarei de corpo e alma , no limite de minhas forças, para que a investigação seja profunda e completa. Doa a quem doer! Que a Verdade e a Justiça prevaleçam em nossa Nação. Jesus no comando. Sempre!
Paz & Bem 👍🇧🇷☀️🙏🏽
#senadoreduardogirão #éticanapolítica #pelobrasil #peloceará #8dejaneiro #cpmi #fimdaimpunidade #justiçaparatodos #deusnocontrole","(Parlamentar falando na CPMI.)

Eu confesso para os senhores que a CPMI, como eu entendo, ou CPI, como quer que seja, é um instrumento da minoria, um instrumento da oposição.

Esse foi o objetivo.

Aqueles que se dizem vítimas dos atos deploráveis do dia 8 de janeiro, e é aqui que a gente vai buscar esclarecer isso, pelo menos essa é a intenção, não estavam querendo, de maneira nenhuma, a realização dessa CPMI.

Eu falo, com todo o respeito a quem pensa diferente, o governo Lula não queria.

Tanto é que saiu na grande mídia, parlamentares denunciaram que foram ofertados dezenas de milhões de reais de emendas parlamentares, cargos federais, em troca de retirada de assinatura.

Quando vazaram as imagens, acredito que foi da CNN, aí o governo quis se apoderar da presidência da relatoria.

Eu quero apenas manifestar isso e dizer que não vou ser absolutamente aqui estraga prazeres do acordo que foi feito.

É o jogo democrático.

A maioria é do governo, Lula.

O jogo democrático é eleição.

Só um minutinho, senador.

Eu estou com a palavra.

A minoria Somos nós.

O nome escolhido, que é o deputado Arthur Maia, para ser o presidente, me parece um parlamentar, não tive a oportunidade de conhecê-lo pessoalmente, a não ser há duas semanas atrás, uma pessoa de diálogo que busca o equilíbrio, a justiça.

Então, eu darei meu voto de confiança.
"
Oposição,Flávio Bolsonaro,25 de mai.,https://www.instagram.com/tv/Csq7dHJJm_9/,"Na CPMI do 8 de janeiro, deputado bolsonarosp explica como é o modus operandi da esquerda.","<Eduardo Bolsonaro falando durante a CPMI>

Separando agora também a classe dos pastores, Marcos Feliciano, separando entre os fundamentalistas e os 'normais', que talvez sejam só aqueles filiados a partido de esquerda. É inacreditável o poder de divisão.

Outro deputado da esquerda que me antecedeu veio falar aqui que eleitores de deputados que compõem aqui essa comissão estavam na Praça dos Três Poderes no 8 de janeiro, logo, os deputados não mereceriam estar aqui e, por consequência, também ser condenados, talvez para cassar, uma 'Cassação do bem`, que deputados aqui sejam responsabilizados por todas as atitudes de seus eleitores.

Será que a esquerda não se dá conta que esse canhão um dia pode virar contra ela? Ou melhor, que é muito provavelmente, tem gente que fala até que tem uma contagem regressiva para virar esse canhão contra a esquerda? Só que, como diz Lenin, se for necessário mudar tudo aquilo que a gente disse para alcançar um objetivo, assim nós faremos. Até se dizer antifascistas, anticomunistas, ou seja, o que for conveniente para a narrativa deles.

Eu espero Senadora Elisiene Gama, nós temos uma boa relação desde que vossa excelência era deputada, a gente consegue manter um diálogo aberto, faço muito gosto que Vossa Excelência tenha sido escolhida a relatora dessa comissão, para que a gente possa seguir tendo essa boa conversa, e não mergulhar num espectro ideológico que vai impedir da gente fazer um bom trabalho nessa comissão.

Qual o bom trabalho dessa comissão? É separar o joio do trigo.

Meu Deus do céu, teve uma matéria na revista Oeste falando que tinha gente infiltrada, pessoas filiadas a partidos de esquerda, que estavam dentro da Brasil dos Três Poderes. Será que essas pessoas merecem também ser largadas e trancadas no arcabouço e esquecidas a chave da prisão?

Há relatos, e a gente tem que separar o jogo do trigo pra saber o que é fake news e o que é verdade, de mendigo que foi preso, de pipoqueiro que foi preso, uberista. A maioria daquelas pessoas ali nunca pegou em armas.

A colocação que você anotou, Magno Malta, foi muito justa: terrorista César Batiste, quatro homicídios qualificados, matou um pai na frente de um filho, deixou outro cadeirante. Me encontrei, quando fui na Itália, com o Alberto Toreggiani. O cara estava na cadeira de roubo desde os anos 70, vítima do César Batiste.

Agora, vamos olhar para aquelas pessoas que foram presas no oito de janeiro. Será que seriam capazes de fazer tudo isso que o terrorista realmente fez? 

Essa banalização, ela não é conveniente a ninguém. A internet hoje está num clima onde quem discorda de mim é nazista, banalizando o nazismo. Se jogar no Google aí, imagens, e ler uma olhada nas imagens do que foi o nazismo, o cara deixava a pessoa definhar, e quando ela estava pra morrer, empurrava ela numa vala com outras centenas. Isso é nazismo! Não é um coleguinha que discordou de você da internet, não.

Então que Deus nos ilumine, pra nos dar sabedoria, e a gente tenha serenidade aqui, pra apurar as omissões, os vândalos infiltrados e também, finalizando, Presidente, as decisões arbitrárias.

E também as decisões arbitrárias, advogado que não teve acesso aos autos, cliente que ficou incomunicável, não teve acesso a kit de higiene, mulheres que não poderiam ter acesso a absorventes, mães separadas de filhos e assim por diante.

A nossa missão aqui é fazer justiça, Presidente. Muito obrigado."
Oposição,Eduardo Girão,25 de mai.,https://www.instagram.com/reel/Csr6K50OiJi/,"✅RESPONSABILIDADE P/ VERDADE: CABE A TODOS PARLAMENTARES REALIZAR UMA CPMI TÉCNICA.FAREI MINHA PARTE C/INDEPENDÊNCIA E SEM LACRAÇÃO🙋🏽‍♂️

Hoje,em sessão tumultuada,foi instalada a tão esperada CPMI dos atos do dia 8/1. Com ampla maioria,o governo LUL4 que sabotou ,boicotou de todas as formas como pôde essa investigação do legislativo usou o jogo bruto também para “ocupar” uma comissão da qual seus membros se quer assinaram o requerimento da Comissão!Agora, parecem querer perseguir seus adversários. Qual o motivo de tanto M3D0? O que escondem? Boa coisa não pode ser e tentaremos descobrir. A população espera que as narrativas terminem e a Justiça triunfe com base na Verdade dos fatos.
A sociedade precisa cobrar e ficar vigilante!
Mesmo em minoria, tentaremos cumprir com nosso dever com serenidade e racionalidade no limite das forças! Que o bom senso prevaleça em nossa Nação. 
Jesus no comando. Sempre!
Paz & Bem 👍🇧🇷☀️🙏🏽
#senadoreduardogirão #éticanapolítica #pelobrasil #peloceará #8dejaneiro #cpmi #deusnocontrole #fimdaimpunidade","<Parlamentar concedendo entrevista. Não é possível identificar de que canal as imagens foram retiradas, mas aparecem microfones da TV Senado, SBT e JP News>

Olha, o que aconteceu foi um sequestro. O governo Lula, que não queria de jeito nenhum essa comissão parlamentar de inquérito funcionando, sabotou até onde pôde, segundo a grande mídia brasileira e parlamentares que denunciaram, até dezenas de milhões de reais foram oferecidas a parlamentares para retirar a assinatura, sem falar em cargos federais.

Mas quando as imagens vazaram. Imagens, inclusive, decretadas por sigilo do governo Lula, segredismo. Quando se mostrou ali o general do Lula recebendo as pessoas como se fosse um anfitrião, servindo água junto com a sua equipe, aí o governo viu que não tinha como segurar a CPMI e resolveu ocupar.

Então o jogo foi bruto, ocupou em peso toda a comissão, fez uma ampla maioria. 

Então ficamos com um presidente pelo menos equilibrado, que busca o diálogo, mas que a gente espera que ele seja imparcial e que ele procure fazer mais sessões do que ele disse no discurso de pós, porque uma sessão por semana vai demorar ai a próxima encarnação para a gente ouvir, quem tem que ouvir, nessa comissão. Só de requerimento eu já soube aí que já há centenas de requerimentos de senadores.

A população espera que a gente faça o nosso trabalho, que acabe com narrativas, que acabe com essa briga política e que a gente possa fazer um trabalho técnico nessa CPI, para buscar realmente a verdade, seja pessoa de direita, seja de esquerda, seja infiltrados. Quem participou desses atos devem ser punidos.

Agora, o que a gente não pode é querer blindar ninguém. Então, muito me deixa preocupado essa questão da omissão do governo Lula pelo documento da Abin também que foi revelado ao longo desses meses, de que o governo federal teria sido avisado, 48 agências; avisado de que o objetivo, dois dias antes, já sabendo que o objetivo dos atos seria destruir, seria depredar o patrimônio público do Brasil, inclusive com arma de fogo. Está lá no Alerta.

E o que o governo federal fez? Desmobilizou horas antes do ataque a guarda presidencial. Se o objetivo do ataque era na Praça dos Três Poderes, incluindo o Palácio do Planalto.

E a Força de Segurança Nacional? Por que que não estava com seu efetivo?

Tudo isso o povo brasileiro quer saber e nós também queremos e vamos fazer a nossa parte, mesmo estando numa minoria de uma comissão que, historicamente, dentro do Senado, uma comissão que é um instrumento de oposição da minoria. Então, sequestraram até esse instrumento importante para a gente averiguar, mas nós vamos fazer o que tiver ao nosso alcance.

<jornalista pergunta sobre a avaliação em relação a participação de Magno Malta na mesa diretora, mas o audio não é claro>

Ali foi uma redução de danos, né? Era o que era possível se fazer, a maioria esmagadora era ele, em nome de uma harmonia, de uma pacificação que se busca no país de verdade, né?

A gente não pode ter repetido, espero que não, ao longo dessas próximas sessões, que não seja apenas uma sessão por semana, repito, tem muitos requerimentos para serem deliberados, muita gente importante para a gente ouvir de um lado e de outro. De minha parte chamarei representantes tanto do governo passado como desse governo, com independência.

Então, o que a gente foi possível ali naquele momento fazer foi uma redução de danos dentro da mesa. Agora, ficou muito evidente a ocupação da CPMI por pessoas, inclusive, que nem sequer assinaram a CPMI, parlamentares que estão ali caindo de paraquedas. Faz parte do jogo, mas que não queriam, que não assinaram o requerimento. 

Então a população precisa entender que a CPMI foi sequestrada pelo governo Lula e a gente vai tentar mitigar, vai tentar fazer os questionamentos dentro da possibilidade e vamos ver com o andar da carruagem como é que vai ficar.

Obrigado.
"
Oposição,Marco Feliciano,25 de mai.,https://www.instagram.com/reel/CsqmyGqMDxb/,Questionei o General Marcos Antônio Amaro sobre os atos do dia 8 de Janeiro.,"<Parlamentar em uma das salas do congresso> 

General Marcos, muito bem-vindo aqui, ministro.

E o senhor tem um nome muito bonito, viu?

Tem mãe que sabe escolher nome, né?

General, eu cheguei à seguinte conclusão, de que o senhor não devia estar sentado aí nessa cadeira, por causa dos assuntos que nós temos a falar.

Mas como foi o senhor que veio aqui para nos ouvir, e eu ouvi duas coisas que o senhor falou e me chamou a atenção.

Uma delas, general, é que não havia precedente de acontecimentos como esse aqui no Brasil.

Só que a imprensa nos diz diferente, veja só.

<Vídeo mostra manchetes de sites de notícia, primeiro do portal da Câmara dos Deputados, depois do G1>

Em 2013, cerca de 30 mil pessoas ocuparam a esplanada em novo dia de manifestação, e 120 pessoas foram feridas e tentaram invadir o Palácio do Planalto.

<Manchete do site RBA>

Em 2014, 20 mil manifestantes estiveram aqui, pessoal do MST, tentaram invadir o Palácio do Planalto, não conseguiram, e 48 pessoas foram feridas quando eles depedraram o STF.

<Manchete do site do G1, depois retoma a imagem do parlamentar>

Em 2017, 35 mil manifestantes aqui estiveram, e mais de 49 pessoas foram feridas, inclusive, se não me falo a memória, foi nessa época que colocaram fogo no Itamaraty.

Só que em nenhuma dessas manifestações, com 30 mil pessoas, 20 mil pessoas, 35 mil pessoas, conseguiram sequer entrar no Palácio do Planalto.

E em 2023, segundo a imprensa, cerca de 5 mil pessoas.

(Usando de ironia) Os golpistas, Golpista sem baioneta, golpista sem arma, golpista sem tanque de guerra, golpista usando bandeira do Brasil.

E aqui, senhor general, eu também ouvi o senhor chamar aqui em algum momento esse pessoal de golpista, data máxima vênia.

Será que é justo chamar esses brasileiros de terroristas ou de golpistas?

Por que o pessoal que tentou invadir o STF e mandou 12 policiais para o hospital não foram chamados de terroristas?

Por que esses são chamados de terroristas?

Senhorinhas de 80 anos, mães com crianças, o senhor acha justo mesmo o exército brasileiro, na sua pessoa aqui representada agora como um general, chamar esses brasileiros de golpistas?

Pode chamar eles de raivosos, de vândalos...

Pode chamar eles de irados, de amedrontados, de destemperados! Mas de golpistas?

Que golpe é esse, onde tentas tomar o poder de um país com crianças e velhos?

Isso é uma crueldade.

A imprensa vai pagar caro, se não na terra, diante de Deus.

Porque carimbaram pessoas boas com esses nomes.

E o governo pagará caro também, se não aqui na terra, um dia diante de Deus.

Porque rotularam essas pessoas dessa forma, essas pessoas ficaram marcadas para sempre.

Fica só aqui a minha indignação e eu só queria fazer uma pergunta aos senhores.

Se fosse o senhor que estivesse naquele momento, diante da tensão que havia no Brasil. Sabemos que a BIN comunicou mais de 48 órgãos, inclusive sim o GSI. Como o senhor agiria?

Qual seria a sua procedência nessa questão?

E se o senhor acha de fato que essas pessoas são golpistas?

<Vídeo encerra com a marca do deputado, onde é possível ver o ""fe"" de ""Feliciano"" destacado dentro de um escudo>
"
Oposição,Marco Feliciano,25 de mai.,https://www.instagram.com/reel/CsquOr9A_WQ/,"General de Lula diz que não houve terrorismo em 8 de Janeiro, contrariando a imprensa e o governo PT.","<Parlamentar falando em comissão de Seguraná Pública, na parte inferior do vídeo aparece ""General de Lula diz que não houve terrorismo em 08/01, contrariando a imprensa e o governo PT.>

(Marco Feliciano) E aqui, senhor general, eu também ouvi o senhor chamar aqui, em algum momento, esse pessoal de golpista, data máxima vênia.

<Vídeo mostra manchetes de diferentes sites de notícia dizendo que o 8 de janeiro foi um atentado terrorista>

(Marco Feliciano) O senhor acha justo mesmo o Exército Brasileiro, na sua pessoa aqui representada agora como general, chamar esses brasileiros de golpistas?

(General Amaro Marcos)Como tratar os atos de 8 de janeiro, se foram, se se tratou de golpe ou vandalismo? Na realidade, deputado, o que vemos são as consequências desses atos.

(General Amaro Marcos) E eu acho que, num primeiro momento, a imprensa foi realmente que trataram aqueles atos como atos terroristas, que eu também acho que foge ao regramento jurídico tratar desta forma. Acho que o regramento jurídico brasileiro não permite tratar aqueles atos. E, a partir de um certo momento, deixou de ser tratado desta forma, a própria imprensa, me parece.
"
Oposição,Eduardo Girão,25 de mai.,https://www.instagram.com/reel/CsqYnBRLKv2/,"☀️FINALMENTE!! APESAR DO GOV.LUL4,CPMI DEVE SER INSTALADA DAQUI A POUCO…Q A VERDADE TRIUNFE🇧🇷
Deus ajuda a quem cedo madrugada! Desde cedinho já estou aqui á postos aqui no senadofederal para servir ao Brasil na tão esperada CPMI dos atos do dia 8/1. Está marcada para as 09 hs a eleição do comando desta Comissão que foi tão sabotada e boicotada por aqueles que se dizem vítimas mas parecem não querer investigação…A população brasileira precisa ter conhecimento do que de fato ocorreu naquele fatídico dia. Que a Justiça prevaleça em nossa Nação! Jesus no comando. Sempre. Paz & Bem 👍🇧🇷☀️🙏🏽
#senadoreduardogirão #éticanapolítica #justiçaparatodos #fimdaimpunidade #pelobrasil #peloceará #fimdaimpunidade","<Parlamentar mostra a agenda do Senado Federal, destacando a 1ª reunião da CPMI do 8 de janeiro no Plenário nº 2. Em seguida vira a câmera para o próprio rosto e começa a falar>

Paz e bem pra você, bom dia, são 7 horas e 3 minutos aqui em Brasília, eu tô aqui na frente da comissão, que daqui a pouco, se Deus quiser, vai instalar a CPMI para a gente entender o que é que aconteceu no dia 8 de janeiro.

Está fechado ainda aqui. O movimento no Senado ainda é pequeno. E essa CPMI já deu o que falar.

Desde o início nós nos mobilizamos aqui no Senado Federal para entender o que aconteceu sobre o dia 8 de janeiro. Quem é que causou aquela depredação, aquele vandalismo, ficou em cima de narrativas. 

E nada como as duas casas que foram depredadas, que foram invadidas, para fazer essa investigação. É o foro ideal. Então os deputados se movimentaram lá também e a gente conseguiu muito esforço. O governo que se diz vítima, o governo Lula, fez de tudo para que essa CPMI não ocorresse. E é uma coisa impensável. Como é que a vítima não quer investigar? Ofereceu, segundo a própria mídia, parlamentares, verbas de emendas parlamentares com SEU dinheiro, para que os deputados retirassem a assinatura, cargos, os próprios parlamentares denunciaram isso.

Depois que vazaram algumas imagens lá do GSI, do general do Lula junto com a equipe, recebendo os invasores como se fosse em casa um anfitrião, o governo quis ali dominar, e hoje a gente vai entender qual é essa do governo Lula que parece que quer agora a presidência e a relatoria, ou seja, quer sabotar, quer boicotar uma investigação. Ninguém tem que blindar ninguém, seja de direita, de esquerda, infiltrado. Quem quer que esteja envolvido nisso tem que ser punido, responsabilizado.

Então, hoje, a sessão iria ser aberta na terça-feira pelo senador Espiridião Amin. Ele marcou nove horas da manhã de terça, mas um senador mais idoso, senador Otto Alencar, que foi daquele grupo G7, lá da CPI da pandemia, remarcou para hoje, quinta-feira, nove horas da manhã.

Nós estamos aqui já de prontidão a serviço do Brasil e contamos sempre com seu apoio para que tudo que esteja embaixo do tapete saia e a luz seja colocado nessas sombras.

Um grande abraço, bom dia.
"
Oposição,Marco Feliciano,26 de mai.,https://www.instagram.com/reel/CstzTB7Ols1/,"Não houve golpe!
Não houve terrorismo! 
Houveram atos de vandalismo!
Vamos apurar na CPMI!","<Imagens da sessão da CPMI. Uma tarja em baixo do vídeo diz ""Não houve golpe! Não houve Terrorismo! Houveram atos de vandalismo! Vamos apurar na CPMI"">

Sr. Presidente, nobre deputado Arthur Maia, a presença de vossa excelência na presidência dessa comissão me tranquiliza muito.

Sr. Presidente, essa CPI de 8 de janeiro, ela, se Deus quiser, vai trazer luz e justiça aos injustiçados.

É dolorido ouvir todos os dias, quer seja da grande imprensa, quer seja lá na Câmara dos Deputados, falar sobre golpistas e terroristas.

Golpe. Golpe que aconteceu sem coturno, golpe sem arma de fogo, golpe sem tanque de guerra, golpe sem apoio das forças armadas, golpe sem apoio de uma grande nação, uma superpotência. Um golpe feito por mulheres, crianças, velhos.

Isso é uma forma muito cruel de rotular as pessoas. Vocês acabam com a vida das pessoas falando assim.

Ontem eu inquiri na nossa Comissão de Segurança Pública o general que cuida do ministro do GSI, o general Amaro Marcos. Eu perguntei pra ele se ele de fato acreditava em atos terroristas e em golpes. E o que me deixou mais tranquilo foi saber que ele, representando o exército brasileiro ali e o governo, disse: não, no meu pensamento houve vandalismo.

Se houve vandalismo, então vamos punir os vândalos. Mas não rotular essas pessoas de golpistas e terroristas, porque isso vai ficar marcado para todos sempre na vida deles.

O que aconteceu no nosso país em 2013, Sr. Presidente?

<Vídeo corta para imagens de manchetes de diferentes sites de notícia, Câmara dos Deputados, RBA, G1>

Mais de 30 mil pessoas tentaram invadir aqui o Palácio do Planalto e não conseguiram.

Em 2014, 20 mil pessoas tentaram invadir e não conseguiram.

Em 2017, 35 mil pessoas tentaram e não conseguiram.

<Voltam as imagens do parlamentar na CPMI>

E em 2023, menos de 4 mil pessoas fizeram essa arruaça toda.

Então, nós temos que descobrir o que houve. No nosso pensamento, houve omissão. No nosso pensamento, houve facilitação.

E nós queremos que essa CPI haja de maneira justa, porque uma injustiça provoca crueldade e destrói a vida das pessoas.

No demais, Sr. Presidente, deixo aqui a minha última palavra, falando para todos os deputados e senadores de esquerda, que é uma hipocrisia falar sobre democracia enquanto eles apoiarem os regimes de Cuba, Venezuela, Nicarágua, Coreia do Norte e até, por que não dizer, da própria China. Então, querem uma democracia aqui ou uma democracia parecida com a ditadura de lá?

Sr. Presidente, que a CPI faça o trabalho dela e que Deus tenha piedade do Brasil.

<O vídeo encerra com aplausos de outros deputados governistas>
"
Oposição,Marco Feliciano,26 de mai.,https://www.instagram.com/reel/CsteIYDR8c9/,O governo sequestrou a CPMI.,"<no quadro 'Grande Debate' da CNN, sobre a CPMI do 8/1. Na tela aparece também a jornalista e o deputado Zeca Dirceu, do PT. Abaixo aparece uma tarja do post ""O Governo Sequestrou a CPMI"">

(Jornalista) Vamos começar com o deputado Marco Feliciano, porque eu gostaria dos dois, é claro, uma avaliação dessa primeira sessão. E do deputado Marco Feliciano, eu não posso me furtar de dizer, deputado, a gente comentou aqui bastante sobre a presença do senador Magno Malta na mesa, na vice-presidência hoje. O senhor foi um dos maiores entusiastas, hoje, eu diria, tecendo vários elogios ao senador Magno Malta.

(Jornalista)Ainda agora ouvimos o presidente também, Arthur Maia, dizendo que era necessário que houvesse ali uma outra voz pra compor também a mesa da CPMI, mas é fato que o senador amanheceu hoje com vários pedidos da oposição, de setores da sociedade, de cassação pela fala dele.

(Jornalista) Queria lhe ouvir 

(Magno Malta) Oi Luciana, boa tarde. Boa tarde, Zeca, meu amigo aqui do parlamento.

(Magno Malta) Luciana, a questão do senador Magno Malta é uma coisa muito pessoal. A pessoa tem que ter um histórico de ser racista, de ser bandido. E Magno não tem nada disso. Magno é uma pessoa querida por toda a população brasileira, somente por aqueles que são governistas que ele não é querido. Você até disse que a oposição foi contra ele, mas foi ao contrário. Os governistas que entraram contra.

(Jornalista) E desculpa, é porque eu ainda não embarquei o deputado, verdade, os governistas, é claro, a oposição agora são vocês, deputado.

(Magno Malta) E quando eu vi ali um deputado atacar o senador Magno, eu não achei justo. E eu tentei falar ali do curriculum dele, de como ele foi útil para o nosso país, na questão de duas grandes CPIs que ele liderou, a CPI do narcotráfico, onde ele teve, inclusive, ameaça de morte.

(Magno Malta) Eu conheço a família do Magno Malta, é um homem que tem crianças adotadas. Ele é negro, é pai de uma criança negra.

(Magno Malta) Eu acredito que a fala dele foi, talvez, mal interpretada. Magno, ele usa muitas analogias.

(Magno Malta) Mas eu não tô aqui pra falar sobre isso. A questão aqui é a CPMI do dia 8 de janeiro. A presença dele na mesa é legítima depois que o Congresso, ou melhor, depois que a comissão aprovou. Foi feito ali um malabarismo regimental, até porque a comissão tá tomada, acabou sendo sequestrada. Você é que sabe disso. Acabou sendo sequestrada pelo governo, governo que não queria CPMI. Governo que não assinou a lista da CPMI. E agora o governo tem ali a senadora, a senadora Elisane Gama, que vai ser a relatora.

(Magno Malta) Ela, inclusive, já disse qual será o caminho. Ela já chamou de atos golpistas. Ao falar nisso, ela já reverberou aquilo que a grande imprensa tem dito e o que ela sente no coração. O que não é o nosso pensamento.

(Magno Malta) Nosso pensamento é outro. Daqui a pouco eu vou falar na medida do possível. Qual é o meu sentimento? Nós fomos para a CPI animados para esse grande debate. Nós precisamos tratar de fato. Existem pontos que têm que ser elucidados.

(Magno Malta) A minha atuação dentro da CPI vai ser uma. Eu quero que os inocentes estejam livres. Não apenas livres da cadeia, mas também livres das tornozeleiras. É isso que eu quero. E que as pessoas não sejam tratadas como terroristas. Porque não foi ato terrorista. Foram pessoas desesperadas, pessoas frustradas e coisas mais.

(Magno Malta) Golpes? Não temos que acabar com essa narrativa também. Imagine um golpe feito contra um país, com menos de 5 mil pessoas, sem coturno, sem arma pesada, sem o apoio de uma grande nação, de uma superpotência. Imagine um golpe feito com velhinhas, com crianças.

(Magno Malta) Então, acho que nós precisamos ser um pouquinho mais centrados, não sermos cruéis, deixarmos a narrativa de lado, porque enquanto nós ficamos nas narrativas de briga, nós temos pessoas inocentes pagando. Os culpados têm que ser, de fato, punidos pela lei, e não mais do que isso.

(Magno Malta) E não mais, o Brasil precisa caminhar, tá muito polarizado, a gente precisa respirar.
"
